BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Abstract,Comment,Keywords,File,Key
Article,"","109","Burke, Robin and Sonboli, Nasim and Ordo{\~{n}}ez-Gauger, Aldo","Balanced Neighborhoods for Multi-sided Fairness in Recommendation","Proceedings of Machine Learning Research",81,2008,"","1--13",2018,"","","www.etsy.com","","","","","","","","","","","","","Fairness has emerged as an important category of analysis for machine learning systems in some application areas. In extending the concept of fairness to recommender systems, there is an essential tension between the goals of fairness and those of personalization. However, there are contexts in which equity across recommendation outcomes is a desirable goal. It is also the case that in some applications fairness may be a multisided concept, in which the impacts on multiple groups of individuals must be considered. In this paper, we examine two different cases of fairness-aware recommender systems: consumer-centered and provider-centered. We explore the concept of a balanced neighborhood as a mechanism to preserve personalization in recommendation while enhancing the fairness of recommendation outcomes. We show that a modified version of the Sparse Linear Method (SLIM) can be used to improve the balance of user and item neighborhoods, with the result of achieving greater outcome fairness in real-world datasets with minimal loss in ranking performance.","","fair-,multi-sided platform,ness,recommender systems,sparse linear","Users/sarah/Documents/Paper/Balanced Neighborhoods for Multi-sided Fairness in Recommendation.pdf",""
Article,"","11","Calders, Toon and Verwer, Sicco","Three naive Bayes approaches for discrimnation-free classification","Data Mining and Knowledge Discovery",21,2,"","277--292",2010,"","","","","","","","","","","","","","","","In this paper, we investigate how to modify the Naive Bayes classifier in order to perform classification that is restricted to be inde- pendent with respect to a given sensitive attribute. Such independency restrictions occur naturally when the decision process leading to the la- bels in the data-set was biased; e.g., due to gender or racial discrimina- tion. This setting is motivated by many cases in which there exist laws that disallow a decision that is partly based on discrimination. Naive application of machine learning techniques would result in huge fines for companies.We present three approaches for making the Naive Bayes clas- sifier discrimination-free: i) modifying the probability of the decision be- ing positive, ii) training one model for every sensitive attribute value and balancing them, and iii) adding a latent variable to the Bayesian model that represents the unbiased label and optimizing the model parameters for likelihood using expectation maximization. We present experiments for the three approaches on both artificial and real-life data","","Discrimination-aware classification,Expectation maximization,Naive bayes","Users/sarah/Documents/Paper/Three naive Bayes approaches for discrimination-free classification.pdf",""
Article,"","110","{Survey on measuring indirect discrimination in machine learning}","Zliobaite, Indre","",0,0,"","",2015,"","","http://arxiv.org/abs/1511.00148","","","","","","","","","","","","","Nowadays, many decisions are made using predictive models built on historical data.Predictive models may systematically discriminate groups of people even if the computing process is fair and well-intentioned. Discrimination-aware data mining studies how to make predictive models free from discrimination, when historical data, on which they are built, may be biased, incomplete, or even contain past discriminatory decisions. Discrimination refers to disadvantageous treatment of a person based on belonging to a category rather than on individual merit. In this survey we review and organize various discrimination measures that have been used for measuring discrimination in data, as well as in evaluating performance of discrimination-aware predictive models. We also discuss related measures from other disciplines, which have not been used for measuring discrimination, but potentially could be suitable for this purpose. We computationally analyze properties of selected measures. We also review and discuss measuring procedures, and present recommendations for practitioners. The primary target audience is data mining, machine learning, pattern recognition, statistical modeling researchers developing new methods for non-discriminatory predictive modeling. In addition, practitioners and policy makers would use the survey for diagnosing potential discrimination by predictive models.","","","Users/sarah/Documents/Paper/A survey on measuring indirect discrimination in machine learning.pdf",""
Article,"","111","Indre Zliobaite","A survey on measuring indirect discrimination in machine learning","",,,"October","",2015,"","","","","","","","","","","","","","","","Nowadays, many decisions are made using predictive models built on historical data.Predictive models may systematically discriminate groups of people even if the computing process is fair and well-intentioned. Discrimination-aware data mining studies how to make predictive models free from discrimination, when historical data, on which they are built, may be biased, incomplete, or even contain past discriminatory decisions. Discrimination refers to disadvantageous treatment of a person based on belonging to a category rather than on individual merit. In this survey we review and organize various discrimination measures that have been used for measuring discrimination in data, as well as in evaluating performance of discrimination-aware predictive models. We also discuss related measures from other disciplines, which have not been used for measuring discrimination, but potentially could be suitable for this purpose. We computationally analyze properties of selected measures. We also review and discuss measuring procedures, and present recommendations for practitioners. The primary target audience is data mining, machine learning, pattern recognition, statistical modeling researchers developing new methods for non-discriminatory predictive modeling. In addition, practitioners and policy makers would use the survey for diagnosing potential discrimination by predictive models.","","cs.CY, stat.AP","http://arxiv.org/pdf/1511.00148v1",""
Article,"","112","Seck, Isma{\"{i}}la and Dahmane, Khouloud and Duthon, Pierre and Loosli, Ga{\"{e}}lle","Baselines and a datasheet for the Cerema AWP dataset","",,,"","1--10",18,"","","http://arxiv.org/abs/1806.04016","","","","","","","","","","","","","This paper presents the recently published Cerema AWP (Adverse Weather Pedestrian) dataset for various machine learning tasks and its exports in machine learning friendly format. We explain why this dataset can be interesting (mainly because it is a greatly controlled and fully annotated image dataset) and present baseline results for various tasks. Moreover, we decided to follow the very recent suggestions of datasheets for dataset, trying to standardize all the available information of the dataset, with a transparency objective.","","","Users/sarah/Documents/Paper/Baselines and a datasheet for the Cerema AWP dataset.pdf",""
Article,"9781605581934","113","Pedreschi, Dino and Informatica, Dipartimento and Pisa, Universit{\`{a}} and Pontecorvo, L B","Discrimination-aware Data Mining","",,,"","560--568",2008,"","","","","","","","","","","","","","","","","","classification rules,discrimination","Users/sarah/Documents/Paper/Discrimination Aware Data Mining.pdf",""
Article,"","115","Dwork, Cynthia and Immorlica, Nicole and Kalai, Adam Tauman and Leiserson, Max","Decoupled classifiers for fair and efficient machine learning","",,,"","1--15",2017,"","","http://arxiv.org/abs/1707.06613","","","","","","","","","","","","","When it is ethical and legal to use a sensitive attribute (such as gender or race) in machine learning systems, the question remains how to do so. We show that the naive application of machine learning algorithms using sensitive features leads to an inherent tradeoff in accuracy between groups. We provide a simple and efficient decoupling technique, that can be added on top of any black-box machine learning algorithm, to learn different classifiers for different groups. Transfer learning is used to mitigate the problem of having too little data on any one group. The method can apply to a range of fairness criteria. In particular, we require the application designer to specify as joint loss function that makes explicit the trade-off between fairness and accuracy. Our reduction is shown to efficiently find the minimum loss as long as the objective has a certain natural monotonicity property which may be of independent interest in the study of fairness in algorithms.","","","Users/sarah/Documents/Paper/Decoupled Classifiers for Group-Fair and Efficient Machine Learning{_}new.pdf",""
Article,"","116","Geoscience, Making and Easier, Data","10/08/2018 DataSheets: Making Geoscience Data Easier to Find and Use","",,,"","",2018,"","","","","","","","","","","","","","","","","","05m,0800 education,0845 instructional tools,bibliographic 2006agufmed41a","Users/sarah/Documents/Paper/DataSheets- Making Geoscience Data Easier to Find and Use.pdf",""
Article,"","12","Floridi, Luciano","Big data and their epistemological challenge","Philosophy and Technology",25,4,"","435--437",2012,"","","","","","","","","","","","","","","","Floridi discusses big data and their epistemological challenge. the epistemological problem with big data is that there is too much of them (the ethical problem concerns how we use them; see below). Secondly, the technological solution to the epistemological problem is more and better techniques and technologies, which will shrink big data back to a manageable size. The epistemological problem is different, and it requires an equally epistemological solution.","","","Users/sarah/Documents/Paper/Big Data and Their Epistemological Challenge.pdf",""
Article,"","13","Kwang-ho Kim","Favoritism and reverse discrimination","European Economic Review",51,1,"jan","101--123",2007,"","","","","","","","","Elsevier {BV}","","","","","","","","","","",""
