BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Abstract,Comment,Keywords,File,Key
Article,"9780769549057","28","Kamiran, Faisal and Karim, Asim and Zhang, Xiangliang","Decision theory for discrimination-aware classification","Proceedings - IEEE International Conference on Data Mining, ICDM",,,"","924--929",2012,"","","","","","","","","","","","","","","","Social discrimination (e.g., against females) arising from data mining techniques is a growing concern worldwide. In recent years, several methods have been proposed for making classifiers learned over discriminatory data discriminationaware. However, these methods suffer from two major shortcomings: (1) They require either modifying the discriminatory data or tweaking a specific classification algorithm and (2) They are not flexible w.r.t. discrimination control and multiple sensitive attribute handling. In this paper, we present two solutions for discrimination-aware classification that neither require data modification nor classifier tweaking. Our first and second solutions exploit, respectively, the reject option of probabilistic classifier(s) and the disagreement region of general classifier ensembles to reduce discrimination. We relate both solutions with decision theory for better understanding of the process. Our experiments using real-world datasets demonstrate that our solutions outperform existing state-ofthe-art methods, especially at low discrimination which is a significant advantage. The superior performance coupled with flexible control over discrimination and easy applicability to multiple sensitive attributes makes our solutions an important step forward in practical discrimination-aware classification","","social discrimination, classification, decision theory, ensembles","Users/sarah/Documents/Paper/Decision Theory for Discrimination-aware Classification.pdf",""
Article,"9780769539027","30","Calders, Toon and Kamiran, Faisal and Pechenizkiy, Mykola","Building classifiers with independency constraints","ICDM Workshops 2009 - IEEE International Conference on Data Mining",,December,"","13--18",,"","","","","","","","","","","","","","","","In this paper we study the problem of classifier learning where the input data contains unjustified dependencies between some data attributes and the class label. Such cases arise for example when the training data is collected from different sources with different labeling criteria or when the data is generated by a biased decision process. When a classifier is trained directly on such data, these undesirable dependencies will carry over to the classifier's predictions. In order to tackle this problem, we study the classification with independency constraints problem: find an accurate model for which the predictions are independent from a given binary attribute. We propose two solutions for this problem and present an empirical validation.","","","Users/sarah/Documents/Paper/Building Classifiers with Independency Constraints.pdf",""
Article,"9780769549255","32","Berendt, Bettina and Preibusch, S{\"{o}}ren","Exploring discrimination: A user-centric evaluation of discrimination-aware data mining","Proceedings - Twelfth IEEE International Conference on Data Mining Workshops, ICDMW 2012",,,"","344--351",2012,"","","https://www.ipvs.uni-stuttgart.de/abteilungen/de/","","","","","","","","","","","","","Discrimination-aware data mining (DADM) aims at deriving patterns that do not discriminate on "unjust grounds" such as gender, ethnicity or nationality. DADM safeguards can be very helpful for decision-support applications in fields such as banking or employment. However, constraining data mining to exclude a fixed enumeration of potentially discriminatory features is too restrictive. It should be complemented by exploratory DADM. We discuss these two forms of DADM and their requirements for evaluation, and we discuss and refine our DCUBE-GUI tool as a system for exploratory DADM. In a user study administered via Mechanical Turk, we show that tools such as DCUBE-GUI can successfully assist novice users in exploring discrimination in data mining. {\textcopyright} 2012 IEEE.","","Discrimination discovery,Evaluation,Mechanical Turk,Responsible data mining,User studies","Users/sarah/Documents/Paper/Exploring discrimination- A user-centric evaluation of discrimination-aware data mining.pdf",""
Article,"9780769549255","33","Romei, Andrea and Ruggieri, Salvatore and Turini, Franco","Discovering gender discrimintion in project funding","Proceedings - 12th IEEE International Conference on Data Mining Workshops, ICDMW 2012",,,"","394--401",,"","","","","","","","","","","","","","","","The selection of projects for funding can hide discriminatory decisions. We present a case study investigating gender discrimination in a dataset of scientific research proposals submitted to an Italian national call. The method for the analysis relies on a data mining classification strategy that is inspired by a legal methodology for proving evidence of social discrimination against protected-by-law groups. I.","","","Users/sarah/Documents/Paper/Discovering gender discrimination in project funding.pdf",""
Article,"9780769549255","34","Mancuhan, Koray and Clifton, Chris","Discriminatory decision policy aware classification","Proceedings - 12th IEEE International Conference on Data Mining Workshops, ICDMW 2012",,,"","386--393",2012,"","","","","","","","","","","","","","","","Regulations worldwide ban discrimination on many factors, including gender, race, age, etc. This poses a problem for data mining, as learning from historical data containing discriminatory decisions may perpetuate discrimination, even if protected attributes are not used. We focus on discrimination prevention for classification. We introduce a new training set correction approach to handle discriminatory decision policies. Previous training set correction approaches are policy-neutral, our approach specifically targets decision policies evidencing discrimination. The goal is to target specific evidence of discrimination, and thus reduce discrimination with little impact on classification accuracy.","","Classification,Decision policy,Discrimination","Users/sarah/Documents/Paper/Discriminatory Decision Policy Aware Classification .pdf",""
Article,"","35","Sara Hajian and Josep Domingo-Ferrer","A Methodology for Direct and Indirect Discrimination Prevention in Data Mining","{IEEE} Transactions on Knowledge and Data Engineering",25,7,"jul","1445--1459",2013,"","","","","","","","","Institute of Electrical and Electronics Engineers ({IEEE})","","","","","","","","","","",""
Article,"","36","Squires, Gregory D.","Racial profiling, insurance style: Insurance redlining and the uneven development of metropolitan areas","Journal of Urban Affairs",25,4,"","391--410",2003,"","","","","","","","","","","","","","","","Abstract: Racial profiling has emerged as a highly contentious practice in a range of social settings. This article examines the role of racial profiling in the property insurance industry and how such practices, grounded in negative racial stereotyping, have contributed to racial segregation and uneven metropolitan development. From a review of industry underwriting and marketing materials, court documents, and research by government agencies, industry and community groups, and academics, it is clear that race has long affected and continues to affect the policies and practices of this industry. Due to limitations in publicly available data, it is difficult to assess precisely the extent to which race shapes industry practices. Research and public policy initiatives are explored that can ameliorate the data problems, increase access to insurance, and foster more equitable community development.","","","Users/sarah/Documents/Paper/RACIAL PROFILING, INSURANCE STYLE- INSURANCE REDLINING AND THE UNEVEN DEVELOPMENT OF METROPOLITAN AREAS.pdf",""
Article,"","37","Howard N. Garb","Race Bias, Social Class Bias, and Gender Bias in Clinical Judgment","Clinical Psychology: Science and Practice",4,2,"jun","99--120",97,"","","","","","","","","Wiley","","","","","","","","","","",""
Article,"","38","Kristian Lum and William Isaac","To predict and serve?","Significance",13,5,"oct","14--19",2016,"","","","","","","","","Wiley","","","","","","","","","","",""
Article,"","39","W. Asscher","A blot on the professio?","{BMJ}",296,6625,"mar","865--865",1988,"","","","","","","","","{BMJ}","","","","","","","","","","",""
Article,"","43","Ascher, William","A blot on the profession?","British Medical Journal (Clinical research ed.)",296,6625,"","865",88,"","","","","","","","","","","","","","","","From interviews conducted in the home, qualitative data were obtained from 374 urban high school dropouts concerning their primary reason for leaving school early. Female and male respondents of five ethnic groups answered closed- and open-ended questions concerning their (1) dropout history, (2) reasons for leaving school, (3) feelings about various aspects of the high school experience, (4) past and present activities, (5) academic and general future plans, (6) reflections about school, and (7) recommendations for school improvement","","","Users/sarah/Documents/Paper/A blot on the profession.pdf",""
Article,"","44","Salvator Rugieri and Dino Pedreschi and Franco Turini","Data mining for discrimination discovery","{ACM} Transactions on Knowledge Discovery from Data",4,2,"may","1--40",10,"","","","","","","","","Association for Computing Machinery ({ACM})","","","","","","","Data Engineering is awesome!!","","","",""
Article,"9781450300322","45","Ruggieri, Salvatore and Pedreschi, Dino and Turini, Franco","DCUBE: discrimination discovery in databases","Proceedings of the 2010 international conference on Management of data - SIGMOD '10",,,"","1127",,"","","http://portal.acm.org/citation.cfm?doid=1807167.1807298","","","","","","","","","","","","","Discrimination discovery in databases consists in finding unfair practices against minorities which are hidden in a dataset of historical decisions. The DCUBE system implements the approach of [5], which is based on classification rule extraction and analysis, by centering the analysis phase around an Oracle database. The proposed demonstration guides the audience through the legal issues about discrimination hidden in data, and through several legally-grounded analyses to unveil discriminatory situations. The SIGMOD attendees will freely pose complex discrimination analysis queries over the database of extracted classification rules, once they are presented with the database relational schema, a few ad-hoc functions and procedures, and several snippets of SQL queries for discrimination discovery.","","classification rules,discrimination","Users/sarah/Documents/Paper/DCUBE Discrimination Discovery In Databases.pdf",""
Article,"","49","Jo{\~{a}}o Mendes-Moreira and Carlos Soares and Al{\'{\i}}pio M{\'{a}}rio Jorge and Jorge Freire De Sousa","Ensemble approaches for regression","{ACM} Computing Surveys",45,1,"nov","1--40",2012,"","","","","","","","","Association for Computing Machinery ({ACM})","","","","","","","","","","",""
Article,"9781450347037","50","Yang, Ke and Stoyanovich, Julia and Asudeh, Abolfazl and Howe, Bill and Jagadish, HV and Miklau, Gerome","Nutritional Label for Rankings","",,Section 2,"","2--5",2018,"","","http://arxiv.org/abs/1804.07890{\%}0Ahttp://dx.doi.org/10.1145/3183713.3193568","","","","","","","","","","","","","Algorithmic decisions often result in scoring and ranking individuals to determine credit worthiness, qualifications for college admissions and employment, and compatibility as dating partners. While automatic and seemingly objective, ranking algorithms can discriminate against individuals and protected groups, and exhibit low diversity. Furthermore, ranked results are often unstable --- small changes in the input data or in the ranking methodology may lead to drastic changes in the output, making the result uninformative and easy to manipulate. Similar concerns apply in cases where items other than individuals are ranked, including colleges, academic departments, or products. In this demonstration we present Ranking Facts, a Web-based application that generates a "nutritional label" for rankings. Ranking Facts is made up of a collection of visual widgets that implement our latest research results on fairness, stability, and transparency for rankings, and that communicate details of the ranking methodology, or of the output, to the end user. We will showcase Ranking Facts on real datasets from different domains, including college rankings, criminal risk assessment, and financial services.","","","Users/sarah/Documents/Paper/A Nutritional Label for Rankings.pdf",""
Article,"9780769544083","51","{\v{Z}}liobaite, Indre and Kamiran, Faisal and Calders, Toon","Handling conditional discrimination","Proceedings - IEEE International Conference on Data Mining, ICDM",,1,"","992--1001",2011,"","","","","","","","","","","","","","","","Historical data used for supervised learning may contain discrimination. We study how to train classifiers on such data, so that they are discrimination free with respect to a given sensitive attribute, e.g., gender. Existing techniques that deal with this problem aim at removing all discrimination and do not take into account that part of the discrimination may be explainable by other attributes, such as, e.g., education level. In this context, we introduce and analyze the issue of conditional non-discrimination in classifier design. We show that some of the differences in decisions across the sensitive groups can be explainable and hence tolerable. We observe that in such cases, the existing discrimination aware techniques will introduce a reverse discrimination, which is undesirable as well. Therefore, we develop local techniques for handling conditional discrimination when one of the attributes is considered to be explanatory. Experimental evaluation demonstrates that the new local techniques remove exactly the bad discrimination, allowing differences in decisions as long as they are explainable.","","Classification,Discrimination,Independence","Users/sarah/Documents/Paper/Handling Conditional Discrimination.pdf",""
Article,"","52","Margaret Mitchell and Simone Wu and Andrew Zaldivar and Parker Barnes and Lucy Vasserman and Ben Hutchinson and Elena Spitzer and Inioluwa Deborah Raji and Timnit Gebru","Model Cards for Model Reporting","FAT* '19: Conference on Fairness, Accountability, and Transparency, January 29--31, 2019, Atlanta, GA, USA",,,"October","",2018,"","","","","","","","","","","","","","","","Trained machine learning models are increasingly used to perform high-impact tasks in areas such as law enforcement, medicine, education, and employment. In order to clarify the intended use cases of machine learning models and minimize their usage in contexts for which they are not well suited, we recommend that released models be accompanied by documentation detailing their performance characteristics. In this paper, we propose a framework that we call model cards, to encourage such transparent model reporting. Model cards are short documents accompanying trained machine learning models that provide benchmarked evaluation in a variety of conditions, such as across different cultural, demographic, or phenotypic groups (e.g., race, geographic location, sex, Fitzpatrick skin type) and intersectional groups (e.g., age and race, or sex and Fitzpatrick skin type) that are relevant to the intended application domains. Model cards also disclose the context in which models are intended to be used, details of the performance evaluation procedures, and other relevant information. While we focus primarily on human-centered machine learning models in the application fields of computer vision and natural language processing, this framework can be used to document any trained machine learning model. To solidify the concept, we provide cards for two supervised models: One trained to detect smiling faces in images, and one trained to detect toxic comments in text. We propose model cards as a step towards the responsible democratization of machine learning and related AI technology, increasing transparency into how well AI technology works. We hope this work encourages those releasing trained machine learning models to accompany model releases with similar detailed evaluation numbers and other relevant documentation.","","cs.LG, cs.AI","http://arxiv.org/pdf/1810.03993v2",""
Article,"","53","Emily M. Bender and Batya Friedman","Data Statements for NLP: Toward Mitigating System Bias and Enabling Better Science","Transactions of the Association for Computational Linguistics",6,,"dec","587--604",2018,"","","","","","","","","{MIT} Press - Journals","","","","","","","","","","",""
Article,"","54","Zwitter, Andrej","Big Data ethics","Big Data {\&} Society",1,2,"","205395171455925",14,"","","http://journals.sagepub.com/doi/10.1177/2053951714559253","","","","","","","","","","","","","1. Andrej Zwitter$\backslash$r$\backslash$n$\backslash$r$\backslash$n$\backslash$r$\backslash$n{\textless}!-- --{\textgreater}$\backslash$r$\backslash$n$\backslash$r$\backslash$n1. University of Groningen, Groningen, The Netherlands$\backslash$r$\backslash$n$\backslash$r$\backslash$n$\backslash$r$\backslash$n{\textless}!-- --{\textgreater}$\backslash$r$\backslash$n$\backslash$r$\backslash$n1. Andrej Zwitter, University of Groningen, Oude Kijk In ‘t Jat Straat 5, Groningen 9712, The Netherlands. Email: a.zwitter{\{}at{\}}rug.nl$\backslash$r$\backslash$n$\backslash$r$\backslash$nThe speed of development in Big Data and associated phenomena, such as social media, has surpassed the capacity of the average consumer to understand his or her actions and their knock-on effects. We are moving towards changes in how ethics has to be perceived: away from individual decisions with specific and knowable outcomes, towards actions by many unaware that they may have taken actions with unintended consequences for anyone. Responses will require a rethinking of ethical choices, the lack thereof and how this will guide scientists, governments, and corporate agencies in handling Big Data. This essay elaborates on the ways Big Data impacts on ethical conceptions.","","a crowd of 3000,big data governance,education,ethics,in the little,moral responsibility,on 21 september 2012,rioting people,s party at home,societal impact,visited a 16-year-old girl","Users/sarah/Documents/Paper/Big Data ethics - Zwitter.pdf",""
Article,"","55","Sylvie Cazalens and Julien Leblay and Philippe Lamarre and Ioana Manolescu and Xavier Tannier","Computational fact checking","Proceedings of the {VLDB} Endowment",11,12,"aug","2110--2113",2018,"","","https://www.ipvs.uni-stuttgart.de/abteilungen/de/","","","","","","{VLDB} Endowment","","","","","","","","","","",""
Article,"","56","Barocas, Solon and Selbst, Andrew D","Electronic Privacy Information Center","California Law Review",104,,"","671--732",2016,"","","http://dx.doi.org/10.15779/Z38BG31","","","","","","","","","","","","","EPIC is on the front lines of the major privacy and civil liberties debates. In 2016, EPIC has important work to do on algorithmic transparency, student privacy, and government surveillace, among many other issues. Please donate to EPIC today to help us continue this important work.$\backslash$r$\backslash$n","","","Users/sarah/Documents/Paper/Big Datas Disparate Impact.pdf",""
Article,"9780769544090","57","{Fairness-aware learning through regularization approach}","Kamishima et al.","Proceedings - IEEE International Conference on Data Mining, ICDM",,,"","643--650",2011,"","","https://en.wikipedia.org/wiki/Information_engineering","","","","","","","","","","","","","With the spread of data mining technologies and the accumulation of social data, such technologies and data are being used for determinations that seriously affect people's lives. For example, credit scoring is frequently determined based on the records of past credit data together with statistical prediction techniques. Needless to say, such determinations must be socially and legally fair from a viewpoint of social responsibility, namely, it must be unbiased and nondiscriminatory in sensitive features, such as race, gender, religion, and so on. Several researchers have recently begun to attempt the development of analysis techniques that are aware of social fairness or discrimination. They have shown that simply avoiding the use of sensitive features is insufficient for eliminating biases in determinations, due to the indirect influence of sensitive information. From a privacy-preserving viewpoint, this can be interpreted as hiding sensitive information when classification results are observed. In this paper, we first discuss three causes of unfairness in machine learning. We then propose a regularization approach that is applicable to any prediction algorithm with probabilistic discriminative models. We further apply this approach to logistic regression and empirically show its effectiveness and efficiency.","","Classification,Discrimination,Fairness,Information theory,Logistic regression,Privacy","Users/sarah/Documents/Paper/Fairness-aware Learning through Regularization Approach.pdf",""
Article,"","58","Kamishima, Toshihiro and Akaho, Shotaro","Considerations on Rec-ommendation Independence for a Find-Good-Items Task","Fatrec 2017",6,,"","",2017,"","","http://www.kamishima.net/","","","","","","","","","","","","","This paper examines the notion of recommendation independence, which is a constraint that a recommendation result is independent from specific information. This constraint is useful in ensuring adherence to laws and regulations, fair treatment of content providers, and exclusion of unwanted information. For example, to make a job-matching recommendation socially fair, the matching should be independent of socially sensitive information, such as gender or race. We previously developed several recommenders satisfying recommendation independence, but these were all designed for a predicting-ratings task, whose goal is to predict a score that a user would rate. We here focus on another find-good-items task, which aims to find some items that a user would prefer. In this task, scores representing the degree of preference to items are first predicted, and some items having the largest scores are displayed in the form of a ranked list. We developed a preliminary algorithm for this task through a naive approach, enhancing independence between a preference score and sensitive information. We empirically show that although this algorithm can enhance independence of a preference score, it is not fit for the purpose of enhancing independence in terms of a ranked list. This result indicates the need for inventing a notion of independence that is suitable for use with a ranked list and that is applicable for completing a find-good-items task. CCS CONCEPTS • Information systems → Recommender systems; KEYWORDS fairness, recommendation independence, matrix factorization ACM Reference format:","","2017,acm reference format,akaho,considerations on rec-,fairness,matrix factorization,recommendation independence,toshihiro kamishima and shotaro","Users/sarah/Documents/Paper/Considerations on Recommendation Independence for a Find-Good-Items Task.pdf",""
Article,"","60","Burke, Robin and Sonboli, Nasim and Mansoury, Masoud and Ordo{\~{n}}ez-Gauger, Aldo","Balanced Neighborhoods for Fairness-aware Collaborative Recommendation","Fatrec 2017",,,"","",,"","","https://doi.org/10.18122/B2GQ53","","","","","","","","","","","","","Recent work on fairness in machine learning has begun to be extended to recommender systems. While there is a tension between the goals of fairness and of personalization, there are contexts in which a global evaluations of outcomes is possible and where equity across such outcomes is a desirable goal. In this paper, we introduce the concept of a balanced neighborhood as a mechanism to preserve personalization in recommendation while enhancing the fairness of recommendation outcomes. We show that a modified version of the SLIM algorithm can be used to improve the balance of user neighborhoods , with the result of achieving greater outcome fairness in a real-world dataset with minimal loss in ranking performance.","","fairness,machine learning,neighborhood,recommender systems","Users/sarah/Documents/Paper/Balanced Neighborhoods for Fairness-Aware Collaborative Recommend.pdf",""
Article,"","61","Ekstrand, Michael D. and Tian, Mucun and Ekstrand, Jennifer D. and Anuyah, Oghenemaro and Mcneill, David and Pera, Maria Soledad","All The Cool Kids, How Do They Fit In? Popularity and Demographic Biases in Recommender Evaluation and Effectiveness","Proceedings of the 1st Conference on Fairness, Accountability and Transparency",81,2017,"","172--186",18,"","","http://proceedings.mlr.press/v81/ekstrand18b.html{\%}0Ahttp://proceedings.mlr.press/v81/ekstrand18b/ekstrand18b.pdf","","","","","","","","","","","","","In the research literature, evaluations of recommender system effectiveness typically report results over a given data set, providing an aggregate measure of effectiveness over each instance (e.g. user) in the data set. Recent advances in information retrieval evaluation, however, demonstrate the importance of considering the distribution of effectiveness across diverse groups of varying sizes. For example, do users of different ages or genders obtain similar utility from the system, particularly if their group is a relatively small subset of the user base? We apply this consideration to recommender systems, using of-fline evaluation and a utility-based metric of recommendation effectiveness to explore whether different user demographic groups experience similar recommendation accuracy. We find demographic differences in measured recommender effectiveness across two data sets containing different types of feedback in different domains; these differences sometimes, but not always, correlate with the size of the user group in question. Demographic effects also have a complex-and likely detrimental-interaction with popularity bias, a known deficiency of recommender evaluation. These results demonstrate the need for recommender * This paper can be reproduced with scripts available at https://dx.doi.org/10.18122/B2GM6F. † This paper is an extension of the poster by Ekstrand and Pera (2017). system evaluation protocols that explicitly quantify the degree to which the system is meeting the information needs of all its users, as well as the need for researchers and operators to move beyond na¨ıvena¨ıve evaluations that favor the needs of larger subsets of the user population while ignoring smaller subsets.","","fair,recommender systems","Users/sarah/Documents/Paper/All The Cool Kids, How Do They Fit In? Popularity and Demographic Biases in Recommender Evaluation and Effectiveness.pdf",""
Article,"9781450308571","62","Pedreschi, Dino and Ruggieri, Salvatore and Turini, Franco","Pedreschi","",,,"","126",2012,"","","","","","","","","","","","","","","","Data mining approaches for discrimination discovery unveil contexts of possible discrimination against protected-by-law groups by extracting classification rules from a dataset of historical decision records. Rules are ranked according to some legally-grounded contrast measure defined over a 4-fold contingency table, including risk difference, risk ratio, odds ratio, and a few others. Due to time and cost con-straints, however, only the top-k ranked rules are taken into further consideration by an anti-discrimination analyst. In this paper, we study to what extent the sets of top-k ranked rules with respect to any two pairs of measures agree.","","classification rules,discrimination discovery","Users/sarah/Documents/Paper/A Study of Top-K Measures for Discrimination Discovery.pdf",""
Article,"","64","Sweeney, Latanya","Discrimination in Online Ad Delivery","Ssrn",,,"","",2013,"","","https://en.wikipedia.org/wiki/Information_engineering","","","","","","","","","","","","","A Google search for a person's name, such as “Trevon Jones”, may yield a personalized ad for public records about Trevon that may be neutral, such as “Looking for Trevon Jones? {\ldots}”, or may be suggestive of an arrest record, such as “Trevon Jones, Arrested?...”. This writing investigates the delivery of these kinds of ads by Google AdSense using a sample of racially associated names and finds statistically significant discrimination in ad delivery based on searches of 2184 racially associated personal names across two websites.  First names, previously identified by others as being assigned at birth to more black or white babies, are found predictive of race (88{\%} black, 96{\%} white), and those assigned primarily to black babies, such as DeShawn, Darnell and Jermaine, generated ads suggestive of an arrest in 81 to 86 percent of name searches on one website and 92 to 95 percent on the other, while those assigned at birth primarily to whites, such as Geoffrey, Jill and Emma, generated more neutral copy: the word "arrest" appeared in 23 to 29 percent of name searches on one site and 0 to 60 percent on the other. On the more ad trafficked website, a black-identifying name was 25{\%} more likely to get an ad suggestive of an arrest record.  A few names did not follow these patterns: Dustin, a name predominantly given to white babies, generated an ad suggestive of arrest 81 and 100 percent of the time.  All ads return results for actual individuals and ads appear regardless of whether the name has an arrest record in the company's database. Notwithstanding these findings, the company maintains Google received the same ad text for groups of last names (not first names), raising questions as to whether Google's advertising technology exposes racial bias in society and how ad and search technology can develop to assure racial fairness.","",",computers and society,data privacy,information retrieval,online advertising,public records,racial discrimination,search engine marketing","Users/sarah/Documents/Paper/Discrimination in Online Ad Delivery.pdf",""
Article,"","65","Benjamin G. Edelman and Michael Luca","Digital Discrimination: The Case of Airbnb.com","{SSRN} Electronic Journal",,,"","",2014,"","","","","","","","","Elsevier {BV}","","","","","","","","","","",""
Article,"","66","Alexandra Olteanu and Carlos Castillo and Fernando Diaz and Emre Kiciman","Social Data: Biaes, Methodological Pitfalls, and Ethical Boundaries","{SSRN} Electronic Journal",,,"","",2016,"","","","","","","","","Elsevier {BV}","","","","","","","","","","",""
Article,"","67","Rainer Knopff","On Proving Discrimination: Statistical Methods and Unfolding Policy Logics","Canadian Public Policy / Analyse de Politiques",12,4,"dec","573",1986,"","","","","","","","","{JSTOR}","","","","","","","","","","",""
Article,"","68","Abiteboul, Serge and Miklau, Gerome and Stoyanovich, Julia and Weikum, Gerhard","Data, Responsibly (Dagstuhl Seminar 16291)","",,,"","",2016,"","","","","","","","","Schloss Dagstuhl - Leibniz-Zentrum fuer Informatik GmbH, Wadern/Saarbruecken, Germany","","","","","","","","","Computer Science, 000 Computer science, knowledge, general works","",""
Article,"","70","Abiteboul, Serge and Miklau, Gerome and Stoyanovich, Julia and Weikum, Gerhard","Report from Dagstuhl Seminar 16291","",6,7,"","42--71",2016,"","","http://www.dagstuhl.de/16291","","","","","","","","","","","","","Big data technology promises to improve people's lives, accelerate scientific discovery and innov-ation, and bring about positive societal change. Yet, if not used responsibly, large-scale data analysis and data-driven algorithmic decision-making can increase economic inequality, affirm systemic bias, and even destabilize global markets. While the potential benefits of data analysis techniques are well accepted, the importance of using them responsibly – that is, in accordance with ethical and moral norms, and with legal and policy considerations – is not yet part of the mainstream research agenda in computer science. Dagstuhl Seminar " Data, Responsibly " brought together academic and industry researchers from several areas of computer science, including a broad representation of data management, but also data mining, security/privacy, and computer networks, as well as social sciences researchers, data journalists, and those active in government think-tanks and policy initiatives. The goals of the seminar were to assess the state of data analysis in terms of fairness, transparency and diversity, identify new research challenges, and derive an agenda for computer science research and education efforts in responsible data analysis and use. While the topic of the seminar is transdisciplinary in nature, an important goal of the seminar was to identify opportunities for high-impact contributions to this important emergent area specifically from the data management community.","","Accountability,Big data,Data analysis,Data manage-ment,Data mining,Diversity,Ethics,Fairness,Machine bias,Personal information management,Responsible innovation,Responsible research,Transparency,and phrases Data responsibly","Users/sarah/Documents/Paper/Data, Responsibly.pdf",""
Article,"","71","Bender, Emily M. and Friedman, Batya","Data Statements for Natural Language Processing: Toward Mitigating System Bias and Enabling Better Science","Transactions of the Association for Computational Linguistics",6,,"","587--604",2019,"","","","","","","","","","","","","","","","In this paper, we propose data statements as a design solution and professional practice for natural language processing technologists, in both research and development — through the adoption and widespread use of data statements, the field can begin to address critical scientific and ethical issues that result from the use of data from certain populations in the development of technology for other populations. We present a form that data statements can take and explore the implications of adopting them as part of regular practice. We argue that data statements will help alleviate issues related to exclusion and bias in language technology; lead to better precision in claims about how NLP research can generalize and thus better engineering results; protect companies from public embarrassment; and ultimately lead to language technology that meets its users in their own preferred linguistic style and furthermore does not misrepresent them to others.","","","Users/sarah/Documents/Paper/Data Statements for NLP- Toward Mitigating System Bias and Enabling Better Science{_}final.pdf",""
Article,"","72","Friedman, Batya and Nissenbaum, Helen","Bias in Computer Systems","Computer Ethics",14,3,"","215--232",2018,"","","","","","","","","","","","","","","","From an analysis of actual cases, three categories of bias in computer systems have been developed: preexisting, technical, and emergent. Preexisting bias has its roots in social institutions, practices, and attitudes. Technical bias arises from technical constraints or considerations. Emergent bias arises in a context of use. Although others have pointed to bias in particular computer systems and have noted the general problem, we know of no com- parable work that examines this phenomenon comprehensively and which offers a framework for understanding and remedying it. We conclude by suggesting that freedom from bias should be counted among the select set of criteria—including reliability, accuracy, and efficiency— according to which the quality of systems in use in society should be judged.","","","Users/sarah/Documents/Paper/Bias in Computer Systems.pdf",""
Article,"9781633213982","73","House, White","B D: Seizing Opportunities,","Executive Office of the President of USA",,May,"","1--79",2014,"","","https://www.whitehouse.gov/sites/default/files/docs/big{\_}data{\_}privacy{\_}report{\_}may{\_}1{\_}2014.pdf","","","","","","","","","","","","","We are living in the midst of a social, economic, and technological revolution. How we com-municate, socialize, spend leisure time, and conduct business has moved onto the Internet. The Internet has in turn moved into our phones, into devices spreading around our homes and cities, and into the factories that power the industrial economy. The resulting explosion of data and discovery is changing our world.","","","Users/sarah/Documents/Paper/BIG DATA-  SEIZING OPPORTUNITIES,   PRESERVING VALUES .pdf",""
Article,"","75","Poirier, Lindsay","Reforming Mis-care in Big Data Analysis","",,,"","1--18",2012,"","","","","","","","","","","","","","","","Duis autem vel eum iriure dolor in hendrerit in vulputate velit esse molestie consequat, vel illum dolore eu feugiat nulla facilisis at vero eros et accumsan et iusto odio dignissim qui blandit praesent luptatum zzril delenit augue duis dolore te feugait nulla facilisi. Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat.","","","Users/sarah/Documents/Paper/Reforming Mis-care in Big Data Analysis.pdf",""
Article,"","76","Matthew Arnold and Rachel K. E. Bellamy and Michael Hind and Stephanie Houde and Sameep Mehta and Aleksandra Mojsilovic and Ravi Nair and Karthikeyan Natesan Ramamurthy and Darrell Reimer and Alexandra Olteanu and David Piorkowski and Jason Tsay and Kush R. Varshney","FactSheets: Increasing Trust in AI Services through Supplier's Declarations of Conformity","",,,"August","",2018,"","","","","","","","","","","","","","","","Accuracy is an important concern for suppliers of artificial intelligence (AI) services, but considerations beyond accuracy, such as safety (which includes fairness and explainability), security, and provenance, are also critical elements to engender consumers' trust in a service. Many industries use transparent, standardized, but often not legally required documents called supplier's declarations of conformity (SDoCs) to describe the lineage of a product along with the safety and performance testing it has undergone. SDoCs may be considered multi-dimensional fact sheets that capture and quantify various aspects of the product and its development to make it worthy of consumers' trust. Inspired by this practice, we propose FactSheets to help increase trust in AI services. We envision such documents to contain purpose, performance, safety, security, and provenance information to be completed by AI service providers for examination by consumers. We suggest a comprehensive set of declaration items tailored to AI and provide examples for two fictitious AI services in the appendix of the paper.","","cs.CY, cs.AI","http://arxiv.org/pdf/1808.07261v2",""
